gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gene_0000,63.59,0.7451,0.3741,0.00646163920775112,1.0
Gene_0001,59.93,-0.2074,0.324,0.0750048678543349,1.0
Gene_0002,4.09,0.9715,0.2808,0.05207978649493121,1.0
Gene_0003,76.69,2.2845,0.3339,0.0008193015378736823,1.0
Gene_0004,642.69,-0.3512,0.2296,0.030652830087547947,1.0
Gene_0005,11.61,-0.3512,0.0554,0.08505354706825924,1.0
Gene_0006,1208.29,2.3688,0.4043,0.0009760825108348714,0.6972017934534795
Gene_0007,393.68,1.1512,0.3649,0.16635449329147065,1.0
Gene_0008,34.18,-0.7042,0.2913,0.017871266294268797,1.0
Gene_0009,111.83,0.8138,0.2101,0.00017183756015086836,0.08591878007543417
Gene_0010,3628.75,-0.6951,0.2786,0.16684771412966845,1.0
Gene_0011,643.61,2.5253,0.127,0.009758438630354457,1.0
Gene_0012,151.04,0.3629,0.3115,0.002327703452676352,0.8952705587216739
Gene_0013,92.26,-2.8699,0.1064,0.013853988310536256,1.0
Gene_0014,172.99,-2.5874,0.3107,0.17068293175008156,1.0
Gene_0015,53.33,-0.8434,0.2295,0.0003835331862889319,0.11985412071529122
Gene_0016,2.2,-1.5192,0.2852,9.07392347249572e-05,0.02668801021322271
Gene_0017,8816.28,-2.9555,0.1861,0.001889738907972037,0.524927474436677
Gene_0018,202.48,-3.5472,0.4508,0.0026694984662186567,0.7024995963733307
Gene_0019,329.08,-2.1185,0.336,0.005848895502098512,1.0
Gene_0020,132.18,2.1985,0.2311,0.010382188534139638,1.0
Gene_0021,34.12,-0.3387,0.2821,0.15506753200417014,1.0
EGFR,102.32,3.5927,0.4606,0.003006786957836114,0.6536493386600247
Gene_0023,6.06,-2.1371,0.205,0.020692478680067794,1.0
Gene_0024,14103.43,-0.8166,0.1888,0.06245936793232494,1.0
Gene_0025,12.57,0.1664,0.1845,0.001843103506370105,0.35444298199425095
Gene_0026,18.84,-1.7265,0.2319,1.0961811101470238e-05,0.002029965018790785
Gene_0027,61.53,0.5635,0.4495,0.0008811420434535645,0.1573467934738508
Gene_0028,1951.11,-0.901,0.244,0.011576396774373863,1.0
Gene_0029,152.78,-0.4375,0.2583,0.007623217906751897,1.0
Gene_0030,12.53,-0.9026,0.3202,0.1521622260622094,1.0
Gene_0031,1823.8,2.7784,0.2969,0.06350897247849133,1.0
Gene_0032,640.34,-0.0202,0.3969,0.0030498086642507666,0.46209222185617677
Gene_0033,435.66,-1.5866,0.3821,0.13097387649578263,1.0
Gene_0034,621.09,1.2338,0.3327,0.34359897802333017,1.0
Gene_0035,17831.54,-1.8313,0.277,0.0007104428438067983,0.09867261719538865
Gene_0036,11733.34,0.3133,0.396,0.004221848919397633,0.5705201242429234
Gene_0037,37.58,-2.9395,0.2213,0.001974038811345022,0.2597419488611871
Gene_0038,3819.1,-1.9923,0.2149,0.03797745284953542,1.0
Gene_0039,319.37,0.2953,0.2592,0.19746049551365744,1.0
Gene_0040,402.7,1.1077,0.4162,0.001432023648368405,0.17463703028882988
Gene_0041,5.03,0.2571,0.2163,0.0007246945271746564,0.0862731579969829
Gene_0042,105.55,-0.1735,0.24,0.014785428481463097,1.0
Gene_0043,29.21,1.5001,0.3174,0.004154885700062894,0.47214610227987425
Gene_0044,777.53,-2.2178,0.2943,0.0028437544382908103,0.3159727153656456
Gene_0045,1264.16,-1.0798,0.2621,0.11896172618465436,1.0
Gene_0046,2.34,-0.691,0.3467,0.21189310819935717,1.0
Gene_0047,142.01,1.5857,0.2527,0.0006775691121154967,0.07058011584536424
Gene_0048,1399.29,0.5154,0.4056,0.05432934731644095,1.0
Gene_0049,102.17,-2.6446,0.3237,0.14882873147632159,1.0
Gene_0050,637.87,0.4861,0.4016,0.000837247266355167,0.08208306532893794
Gene_0051,299.56,-0.5776,0.2209,0.175083858173212,1.0
Gene_0052,293.92,-1.0154,0.2852,0.15525464248518853,1.0
Gene_0053,86.26,0.9175,0.1103,0.07199849474609121,1.0
Gene_0054,13.02,4.3481,0.4337,0.008631344393767271,0.784667672160661
Gene_0055,15.75,1.3969,0.5294,0.013171208439712775,1.0
Gene_0056,613.21,-1.2588,0.2712,0.034485898163461384,1.0
Gene_0057,154.3,-0.4638,0.3373,0.037687951541559336,1.0
Gene_0058,112.5,-4.8947,0.3113,0.002758497870552821,0.23377100597905265
Gene_0059,63.57,1.4633,0.1708,0.05538997633145863,1.0
Gene_0060,80.61,-0.7188,0.4247,0.00038502694465251155,0.03155958562725505
Gene_0061,1204.5,-0.2785,0.2725,0.13760216082055665,1.0
Gene_0062,75.91,-1.6595,0.0952,0.015300560725199988,1.0
Gene_0063,10.15,-1.7943,0.2284,0.003860086633922894,0.3015692682752261
Gene_0064,656.75,1.2188,0.1606,0.4677823131033668,1.0
Gene_0065,98.52,2.0344,0.3122,0.0014039926711694685,0.10636308114920216
Gene_0066,158.03,-0.108,0.3116,0.03048743202844135,1.0
Gene_0067,3696.56,1.5053,0.4186,0.004925784002401394,0.36219000017657305
Gene_0068,142.43,0.5425,0.483,1.636916703502367e-05,0.0011861715242770775
Gene_0069,264.64,-0.9677,0.4911,0.30058644458707845,1.0
Gene_0070,14.04,0.5421,0.1975,0.16548915550271834,1.0
Gene_0071,95.65,2.3071,0.3619,0.16054105938405389,1.0
Gene_0072,502.23,-0.0537,0.3797,0.3334869359093953,1.0
Gene_0073,6.61,2.347,0.2477,0.05438542634027908,1.0
Gene_0074,221.78,-3.9296,0.3287,0.3238322459357282,1.0
Gene_0075,181.56,1.2329,0.3399,0.09629922563782455,1.0
Gene_0076,161.19,0.1306,0.2515,6.245029208978462e-06,0.00040552137720639367
Gene_0077,1181.24,-0.4485,0.4282,0.010193475053934264,0.6534278880727092
Gene_0078,289.71,0.1376,0.3235,2.2020466128080327e-05,0.0013937003878531852
Gene_0079,2853.05,-2.9814,0.2828,0.0646914109200815,1.0
Gene_0080,20.34,-0.3295,0.1776,0.17688955311718368,1.0
Gene_0081,194.78,0.5357,0.4151,0.04805031240231548,1.0
Gene_0082,175.73,2.2168,0.3075,0.23352870465686154,1.0
Gene_0083,17.49,-0.7774,0.3078,3.014894081563903e-06,0.00017945798104547042
Gene_0084,1004.85,3.3179,0.2154,0.007499828965226166,0.44116640971918625
Gene_0085,15511.65,-0.7526,0.3894,0.07061982975560076,1.0
Gene_0086,143.45,1.3731,0.1865,0.009499249116934233,0.5459338572950708
Gene_0087,407.5,0.4931,0.0792,0.08127788815666133,1.0
Gene_0088,175.75,-0.7946,0.2291,0.17412912012093903,1.0
Gene_0089,35.62,0.7699,0.3347,3.06090481792383e-09,1.70050267662435e-07
Gene_0090,3.89,0.1456,0.3338,0.0759554144607122,1.0
Gene_0091,36.18,1.453,0.314,0.00015136990569545396,0.00822662530953554
Gene_0092,9.17,-1.0531,0.2828,0.011778732144931364,0.6332651690823314
Gene_0093,4483.7,-0.4915,0.3159,0.046969152182553486,1.0
Gene_0094,117.89,-0.5882,0.586,0.0006921870218872115,0.0364308958888006
Gene_0095,74.3,-2.1953,0.325,5.401127243660746e-05,0.0028130871060733052
Gene_0096,878.58,0.4442,0.2578,0.01012788838038651,0.5220561020817789
Gene_0097,15.74,0.3916,0.2895,2.2742154615463916e-05,0.001160314010993057
Gene_0098,32.02,0.0077,0.2793,0.001974162829730974,0.09970519342075625
Gene_0099,170.06,-0.3519,0.3069,0.058000255757089,1.0
Gene_0100,1161.58,-2.1231,0.2089,0.07633473383031977,1.0
Gene_0101,404.79,-0.631,0.3799,0.07095571620706502,1.0
Gene_0102,243.87,-0.5141,0.3297,0.00032899419357300885,0.015970591921019846
Gene_0103,173.51,-1.2034,0.2211,0.008836475787795126,0.4248305667209195
Gene_0104,330.46,-0.2419,0.402,0.07130782423261757,1.0
Gene_0105,222.14,0.6061,0.1097,0.006581321189949001,0.3104396787711793
Gene_0106,18.92,2.8293,0.5153,0.017781147540122454,0.8308947448655353
Gene_0107,162.74,0.2619,0.4885,8.10369374078809e-05,0.003751710065179671
Gene_0108,17.33,0.3863,0.4725,0.13799085220437188,1.0
Gene_0109,174.54,-0.1117,0.2503,0.3668370490215448,1.0
Gene_0110,56.75,-2.8782,0.3241,0.020440282760699088,0.9207334576891482
Gene_0111,23831.49,-0.0398,0.2378,0.006135545683982077,0.27390828946348555
Gene_0112,137.03,0.0903,0.3431,0.12504218854345353,1.0
Gene_0113,8.95,3.6949,0.3018,0.043234270536992164,1.0
Gene_0114,113.48,-0.2885,0.254,0.0005891464005837875,0.02561506089494728
Gene_0115,419.35,0.4523,0.2529,1.4206862150213741e-06,6.123647478540406e-05
Gene_0116,4216.36,-0.0521,0.3082,0.013393784107378154,0.5723839362127415
Gene_0117,45.65,4.8336,0.5936,0.0068616747175332775,0.2907489287090372
Gene_0118,6.27,1.7142,0.4306,0.0032272047363308197,0.1355968376609588
Gene_0119,760.27,1.1279,0.3086,0.0396478373587525,1.0
Gene_0120,9.38,1.1865,0.2819,0.00017095930818201679,0.007064434222397388
Gene_0121,62.03,-1.3641,0.3623,0.10843584407025003,1.0
Gene_0122,88.66,2.1042,0.2387,0.023539569936513457,0.9568930868501405
Gene_0123,129.12,-2.1028,0.2772,0.008051002328092789,0.32463719064890273
Gene_0124,588.94,0.8803,0.1048,0.00946696418433314,0.3786785673733256
Gene_0125,37.82,3.2857,0.3091,0.04677282589143124,1.0
Gene_0126,85.84,-1.4858,0.3116,0.049830740113457415,1.0
Gene_0127,144.24,-0.8494,0.2456,0.00047484700372873404,0.018548711083153674
Gene_0128,200.18,0.1495,0.3451,0.008410576190152223,0.32599132519969853
Gene_0129,180.49,-0.7552,0.3124,0.02347782431662443,0.9029932429470935
Gene_0130,354.96,-2.326,0.2468,0.2722643850584901,1.0
Gene_0131,802.46,0.1028,0.3823,0.0058113546544645,0.22012707024486744
Gene_0132,325.47,-1.5935,0.282,5.380419797250623e-11,2.0227142094927156e-09
Gene_0133,367.66,0.7104,0.1953,0.4836756491190124,1.0
Gene_0134,6.27,-1.3791,0.1239,0.0014065757887964225,0.05209539958505268
Gene_0135,164.1,2.3249,0.4435,0.029409107806794964,1.0
Gene_0136,387.23,4.8851,0.3126,0.0060569825183590335,0.22105775614449027
Gene_0137,637.71,-0.4831,0.3084,0.0012858805554661805,0.04658987519805002
Gene_0138,37.16,1.2203,0.2956,0.018169586671552246,0.6535822543723829
Gene_0139,39.72,-1.8463,0.4218,0.12002016305946427,1.0
Gene_0140,47.08,0.3412,0.3143,4.3900109952062784e-06,0.00015567414876618008
Gene_0141,433.91,1.9607,0.4548,0.006679136597199077,0.23518086609855907
Gene_0142,1173.52,-2.4112,0.3146,0.2158381120913919,1.0
Gene_0143,65.7,0.277,0.0325,0.2788650390722749,1.0
Gene_0144,912.26,0.3898,0.4267,1.2321007611645615e-05,0.0004248623314360557
Gene_0145,189.99,1.1727,0.3315,0.06212646599043424,1.0
